action_id,inspection_id,incident_id,action_description,action_description_hindi,assigned_to,assigned_date,due_date,completion_date,status,priority,verification_required,verified_by,verification_date,delay_reason
CA-00000,INS-JH-002-0044,INC-JH-001-265,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-11-11,2023-12-29,,Open,High,False,,,
CA-00001,INS-JH-001-3669,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-07-07,2023-08-29,2023-09-04,Escalated,Medium,True,Sita Devi,2023-09-05,
CA-00002,INS-OD-001-4776,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-18,2024-01-12,2024-01-09,In Progress,High,True,Rajesh Kumar,2024-01-10,
CA-00003,INS-JH-001-2622,INC-JH-001-043,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-09-01,2023-10-05,,Escalated,High,False,,,
CA-00004,INS-JH-001-2182,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-12-13,2024-01-15,2024-01-14,Overdue,Low,True,Rajesh Kumar,2024-01-15,Parts not available
CA-00005,INS-JH-002-2433,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-03-24,2023-04-19,2023-04-26,Overdue,Low,True,Sita Devi,2023-04-27,Waiting for approval
CA-00006,INS-JH-001-0588,INC-OD-001-247,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-05-26,2023-07-02,2023-07-04,Overdue,Critical,True,Rajesh Kumar,2023-07-05,Parts not available
CA-00007,INS-OD-001-1444,INC-JH-001-248,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-02-06,2023-02-24,2023-03-06,Escalated,Critical,True,Rajesh Kumar,2023-03-07,
CA-00008,INS-JH-001-4135,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-05-24,2023-07-23,2023-08-01,Overdue,High,True,Rajesh Kumar,2023-08-02,Waiting for approval
CA-00009,INS-JH-002-0305,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-08-23,2023-09-21,2023-09-18,Escalated,Low,False,,,
