requirement_id,category,sub_category,description,description_hindi,frequency,due_days,regulatory_body,is_mandatory,penalty_amount,risk_level
REQ-001,Safety,Mine Ventilation,Adequate ventilation system must be operational,खान में सदा हवादारी प्रणाली का संचालन अनिवार्य है,Daily,1,DGMS,True,50000,High
REQ-002,Safety,Roof Support,All underground workings must have proper roof support,भूगर्भीय कार्य में छत का समुचित समर्थन अनिवार्य है,Daily,1,DGMS,True,100000,Critical
REQ-003,Safety,Fire Prevention,Fire fighting equipment must be available and functional,अग्निशमन उपकरण उपलब्ध और कार्यशील होना चाहिए,Weekly,7,DGMS,True,75000,High
REQ-004,Safety,Personal Protective Equipment,All workers must wear approved PPE,सभी कर्मचारियों को अनुमोदित पीपीई पहनना अनिवार्य है,Daily,1,DGMS,True,25000,Medium
REQ-005,Safety,Emergency Evacuation,Emergency evacuation plan must be displayed and tested,आपातकालीन निकासी योजना प्रदर्शित और परीक्षित होनी चाहिए,Monthly,30,DGMS,True,150000,Critical
REQ-006,Environmental,Air Quality,PM10 levels must not exceed 100 μg/m³,पीएम10 स्तर 100 माइक्रोग्राम/घनमीटर से अधिक नहीं होना चाहिए,Daily,1,CPCB,True,50000,High
REQ-007,Environmental,PM2.5,PM2.5 levels must not exceed 60 μg/m³,पीएम2.5 स्तर 60 माइक्रोग्राम/घनमीटर से अधिक नहीं होना चाहिए,Daily,1,CPCB,True,75000,High
REQ-008,Environmental,Noise,Noise levels must not exceed 85 dB,शोर स्तर 85 डेसीबल से अधिक नहीं होना चाहिए,Daily,1,CPCB,True,40000,Medium
REQ-009,Labour,Working Hours,No worker shall work more than 8 hours in a day,कोई भी कर्मचारी एक दिन में 8 घंटे से अधिक काम नहीं करेगा,Daily,1,Labour Dept,True,25000,Medium
REQ-010,Labour,Wages,Minimum wages must be paid as per government notification,न्यूनतम मजदूरी सरकारी अधिसूचना के अनुसार दी जानी चाहिए,Monthly,30,Labour Dept,True,100000,High
REQ-011,Production,Dust,Dust must be maintained as per regulations,Dust को नियम के अनुसार बनाए रखना अनिवार्य है,Weekly,7,DGMS,True,212768.65,Critical
REQ-012,Production,Water,Water must be maintained as per regulations,Water को नियम के अनुसार बनाए रखना अनिवार्य है,Daily,1,DGMS,True,163148.69,High
REQ-013,Labour,Air Quality,Air Quality must be maintained as per regulations,Air Quality को नियम के अनुसार बनाए रखना अनिवार्य है,Weekly,7,Labour Dept,True,346542.31,Critical
REQ-014,Safety,Roof Support,Roof Support must be maintained as per regulations,Roof Support को नियम के अनुसार बनाए रखना अनिवार्य है,Daily,1,DGMS,True,55682.75,Low
REQ-015,Labour,Fire Prevention,Fire Prevention must be maintained as per regulations,Fire Prevention को नियम के अनुसार बनाए रखना अनिवार्य है,Annual,365,Labour Dept,True,39390.68,High
REQ-016,Safety,Water,Water must be maintained as per regulations,Water को नियम के अनुसार बनाए रखना अनिवार्य है,Monthly,30,DGMS,True,438067.61,Critical
REQ-017,Safety,Training,Training must be maintained as per regulations,Training को नियम के अनुसार बनाए रखना अनिवार्य है,Annual,365,DGMS,True,163099.96,Low
